gauge_id,im,imr,fs,r,g,b
camelsbr_17345000,-0.024482245974649475,1.5941894948208322,0.0,0.5122411229873247,0.7970947474104161,0.0
camelsbr_17350000,-0.028528653514306185,1.5628865544158264,0.0,0.5142643267571531,0.7814432772079132,0.0
camelsbr_21750000,-0.23509503205072205,1.4594134633434044,0.0,0.6175475160253611,0.7297067316717022,0.0
camelsbr_24780000,-0.2043644348729303,1.4431878392098834,0.0,0.6021822174364652,0.7215939196049417,0.0
camelsbr_25100000,-0.16353092290835256,1.5320728049314771,0.0,0.5817654614541763,0.7660364024657386,0.0
camelsbr_27550000,-0.11208702403816222,1.402474926705929,0.0,0.5560435120190811,0.7012374633529646,0.0
camelsbr_28150000,-0.12662113162635624,1.3676342227060725,0.0,0.5633105658131781,0.6838171113530362,0.0
camelsbr_32400000,0.022811542304470783,1.4030446197638127,0.0,0.4885942288477646,0.7015223098819063,0.0
camelsbr_33270000,-0.36135597529882313,1.3269014726238224,0.0,0.6806779876494116,0.6634507363119112,0.0
camelsbr_34730000,-0.4146158304092709,1.4849515863807308,0.0,0.7073079152046354,0.7424757931903654,0.0
camelsbr_35240000,-0.5326498250572413,1.3708887898213202,0.0,0.7663249125286207,0.6854443949106601,0.0
camelsbr_35263000,-0.4059195789342928,1.5388378991516112,0.0,0.7029597894671464,0.7694189495758056,0.0
camelsbr_35740000,-0.2017934517527693,1.4893218454444233,0.0,0.6008967258763847,0.7446609227222116,0.0
camelsbr_35830000,-0.5065708559968419,1.302581584733732,0.0,0.7532854279984209,0.651290792366866,0.0
camelsbr_36210000,-0.41102875148289414,1.378691127383422,0.0,0.705514375741447,0.689345563691711,0.0
camelsbr_37220000,-0.48034963178772133,1.3763389043076404,0.0,0.7401748158938607,0.6881694521538202,0.0
camelsbr_39084010,-0.2507050778307202,1.3198405231538943,0.0,0.6253525389153601,0.6599202615769472,0.0
camelsbr_39084020,-0.2354426801633139,1.3178379810657712,0.0,0.6177213400816569,0.6589189905328856,0.0
camelsbr_39100000,-0.6342947785811929,0.8012629906067903,0.0,0.8171473892905965,0.40063149530339515,0.0
camelsbr_39170000,-0.277350898474164,1.2698387278755807,0.0,0.638675449237082,0.6349193639377904,0.0
camelsbr_39480000,-0.05026458876634221,1.4059247602804097,0.0,0.5251322943831711,0.7029623801402048,0.0
camelsbr_39580000,-0.05116481260670741,1.352643927380516,0.0,0.5255824063033537,0.676321963690258,0.0
camelsbr_40025000,-0.17238400771909781,1.3592274759570695,0.0,0.586192003859549,0.6796137379785347,0.0
